millis,lat,long,h_msl,baro_alt,speed_h,speed_v,heading,accel,temp,press,num_satellites
# { "g_press": 100892.45, "g_temp": 23.27, "datetime": "2022-10-16T14:42:20Z", "fw_version": "0.4.1-gps-testing+git-7ae69c7" }
# Switched to mode: Climb
799104,464410476,-726817350,2018778,2054.9229,64245,-4817,2917673,,27.37,79182,15
799160,464410758,-726817124,2019067,2055.374,64116,-4832,2923128,,27.37,79178,15
799216,464411041,-726816897,2019365,2055.374,64344,-5117,2923489,,27.37,79178,15
799272,464411324,-726816668,2019598,2055.8633,64328,-4899,2925128,,27.37,79173,15
799328,464411608,-726816440,2019859,2056.203,64355,-4878,2909830,,27.37,79170,15
799384,464411891,-726816211,2020112,2056.4504,64413,-4920,2921804,,27.37,79168,15
799440,464412174,-726815985,2020381,2056.82,64209,-4868,2902156,,27.37,79164,15
799496,464412455,-726815758,2020672,2056.9207,64073,-4858,2918848,,27.37,79163,15
799552,464412738,-726815532,2021001,2056.9722,64398,-4796,2909009,,27.37,79163,15
799608,464413019,-726815306,2021255,2057.0918,63874,-4768,2915831,,27.37,79161,15
799664,464413302,-726815080,2021549,2057.785,64109,-4723,2903337,,27.37,79155,15
799720,464413585,-726814853,2021827,2057.5674,64419,-4835,2899256,,27.37,79157,15
799776,464413867,-726814628,2022131,2057.5674,64033,-4949,2900730,,27.37,79157,15
799832,464414150,-726814402,2022428,2057.3147,64255,-5118,2890933,,27.37,79159,15
799888,464414431,-726814171,2022762,2057.804,64283,-5147,2961121,,27.37,79155,15
799944,464414714,-726813941,2023058,2059.2637,64523,-5122,2936869,,27.37,79141,15
800000,464414997,-726813712,2023355,2059.7175,64504,-5013,2929123,,27.37,79136,15
800056,464415280,-726813486,2023628,2059.6714,64330,-4943,2896361,,27.37,79137,15
800112,464415564,-726813258,2023917,2059.6904,64429,-4950,2908938,,27.37,79136,15
800168,464415848,-726813029,2024201,2060.0898,64536,-4991,2925382,,27.37,79133,15
800224,464416131,-726812799,2024479,2059.859,64431,-5314,2926176,,27.37,79135,15
800280,464416416,-726812574,2024734,2060.65,64431,-5357,2868496,,27.37,79127,15
800336,464416697,-726812349,2024991,2060.65,63973,-5001,2889862,,27.37,79127,15
800392,464416978,-726812118,2025252,2061.952,64141,-4872,2953864,,27.38,79115,15
800448,464417262,-726811887,2025557,2062.6992,64597,-4977,2948516,,27.38,79108,15
800504,464417547,-726811658,2025860,2062.6775,64588,-5218,2920694,,27.38,79108,15
800560,464417830,-726811432,2026189,2062.615,64239,-5348,2913226,,27.38,79108,15
800616,464418113,-726811205,2026497,2062.3677,64265,-5119,2914367,,27.38,79111,15
800672,464418395,-726810980,2026786,2062.607,64059,-5019,2907978,,27.38,79108,15
800728,464418678,-726810753,2027070,2062.857,64250,-5109,2906504,,27.38,79106,15
800784,464418962,-726810524,2027363,2062.9495,64424,-5209,2918202,,27.37,79105,15
800840,464419245,-726810298,2027667,2063.3381,64315,-5194,2899952,,27.37,79101,15
800896,464419530,-726810073,2027954,2063.3381,64375,-4905,2877331,,27.37,79101,15
800952,464419814,-726809851,2028238,2063.7783,64221,-5012,2854282,,27.38,79097,15
801008,464420100,-726809627,2028594,2064.4878,64521,-5288,2854958,,27.37,79090,15
801064,464420386,-726809401,2028857,2064.7542,64596,-4818,2873786,,27.37,79088,15
801120,464420670,-726809175,2029101,2064.7568,64404,-4833,2879626,,27.38,79088,15
801176,464420950,-726808952,2029373,2065.0452,63723,-5097,2876107,,27.38,79085,15
801232,464421234,-726808729,2029633,2065.4473,64099,-4745,2860507,,27.38,79081,15
801288,464421517,-726808506,2029915,2066.0752,63971,-4952,2867217,,27.38,79075,15
801344,464421801,-726808284,2030185,2066.2954,64062,-4959,2843854,,27.38,79073,15
801400,464422084,-726808062,2030470,2065.983,63969,-5172,2846096,,27.38,79076,15
801456,464422365,-726807841,2030736,2065.983,63685,-5008,2853092,,27.38,79076,15
801512,464422650,-726807614,2031038,2066.233,64282,-5104,2884812,,27.38,79074,15
801568,464422933,-726807390,2031332,2067.005,64124,-5132,2878766,,27.38,79066,15
801624,464423215,-726807166,2031630,2067.3826,63915,-5406,2879196,,27.38,79063,15
801680,464423498,-726806942,2031916,2067.8066,64005,-5180,2870629,,27.38,79058,15
801736,464423784,-726806720,2032184,2067.9807,64374,-5054,2825360,,27.38,79057,15
801792,464424073,-726806494,2032530,2068.0703,64811,-5236,2866223,,27.38,79056,15
801848,464424361,-726806266,2032847,2067.7876,64910,-5370,2877188,,27.38,79059,15
801904,464424646,-726806037,2033127,2067.921,64995,-5554,2881720,,27.38,79057,15
801960,464424932,-726805812,2033462,2069.5083,64594,-5796,2863438,,27.38,79042,15
802016,464425216,-726805589,2033776,2069.5083,64351,-5617,2850310,,27.38,79042,15
802072,464425500,-726805366,2034105,2069.772,64219,-5912,2852246,,27.38,79040,15
